id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
44451347,"Sanitized Home, 4BR/3BA, Free Parking available",179677031,Karen,,Armour Square,41.85039,-87.64038,Entire home/apt,310.0,2,87,2024-12-01,1.88,1,217,22,R24000116362,Chicago
44472684,"Blueground | Loop, gym, doorman, nr L & parks",107434423,Blueground,,Loop,41.8772287,-87.6290111,Entire home/apt,123.0,32,2,2024-11-02,0.18,597,42,2,32+days Listing,Chicago
44472765,"Blueground | Loop, gym, doorman, nr L & parks",107434423,Blueground,,Loop,41.8772287,-87.6290111,Entire home/apt,135.0,32,3,2021-04-25,0.06,597,2,0,32+days Listing,Chicago
44472783,"Blueground | Loop, gym, doorman, nr L & parks",107434423,Blueground,,Loop,41.8772287,-87.6290111,Entire home/apt,139.0,32,1,2022-08-27,0.03,597,341,0,32+days Listing,Chicago
44472881,"Blueground | Lincoln Park, w/d, nr transport",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,130.0,32,1,2021-03-31,0.02,597,1,0,32+days Listing,Chicago
44472905,"Blueground | Lincoln Park, w/d, nr transport",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,130.0,32,0,,,597,348,0,32+days Listing,Chicago
44490049,Spectacular Pilsen Studio for 2!,257894542,Hena,,Lower West Side,41.85605,-87.65083,Entire home/apt,67.0,2,247,2025-03-05,4.44,1,340,52,R20000057605,Chicago
44535810,"Private Suite w/ offstreet pkg, at Logan Sq Blu Ln",90730458,Bill And Susan,,Avondale,41.93292,-87.7084,Entire home/apt,66.0,2,275,2025-03-10,4.94,1,0,59,R21000074700,Chicago
44557909,Gigantic Condo steps from Wrigley Field!,40319547,Josh,,Lake View,41.9485709947022,-87.65822365480322,Entire home/apt,233.0,2,138,2025-02-17,2.65,8,172,30,R21000062759,Chicago
44566657,"Blueground | Lincoln Park, w/d, nr l & New City",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,130.0,32,1,2023-11-30,0.06,597,347,0,32+days Listing,Chicago
44595752,Large 1Bed With Pool - City & River Views +Parking,24388042,DeLuxe,,Near North Side,41.89117,-87.61773,Entire home/apt,255.0,32,7,2024-12-09,0.13,11,238,1,City registration pending,Chicago
44633608,Evergreen Park Condo with balcony and Jacuzzi tub,212925962,Zirrell,,Ashburn,41.73536,-87.69232,Entire home/apt,109.0,2,115,2025-03-01,2.08,1,363,27,,Chicago
44697481,"Blueground | Loop, gym, doorman, nr L & parks",107434423,Blueground,,Loop,41.8772287,-87.6290111,Entire home/apt,181.0,32,2,2022-05-16,0.05,597,1,0,32+days Listing,Chicago
44839791,Chicago's Home Away From Home - Bedroom #2,66268005,Ahja,,North Lawndale,41.8527,-87.72157,Private room,53.0,32,11,2024-03-02,0.26,2,365,0,R19000050275,Chicago
44952202,VIBES Chicago Private Room,26404242,G,,Montclare,41.92588,-87.79597,Private room,59.0,3,38,2024-11-17,0.69,4,219,10,R21000072582,Chicago
45000378,South Shore Beauty Close to everything,66073787,Nicole,,South Shore,41.75552,-87.56829,Private room,40.0,32,2,2021-06-01,0.04,1,179,0,R20000057872,Chicago
45009173,Humboldt Park Loft,43614741,Chris & Preeti,,Humboldt Park,41.90788,-87.71418,Entire home/apt,86.0,2,131,2024-12-09,2.41,1,59,29,R22000092434,Chicago
45099241,Discover Chicago from a Modern Apartment,2069798,Afsha,,Logan Square,41.915187,-87.711738,Entire home/apt,183.0,2,116,2025-03-09,2.1,5,32,25,R20000054738,Chicago
45102210,Amazing City Get Away. Perfect for Entertaining!,46939427,Anthony,,Logan Square,41.92796,-87.69772,Entire home/apt,1000.0,32,6,2021-10-10,0.11,9,365,0,R17000015121,Chicago
45153834,High End 3bd/2bth Condo. Amazing location!,25857452,Shaye,,West Town,41.89919,-87.66267,Entire home/apt,160.0,32,1,2020-11-02,0.02,1,0,0,R20000058340,Chicago
45177129,"Located near Wrigley, Lakefront, Downtown &Parking",46939427,Anthony,,Irving Park,41.9549,-87.70571,Entire home/apt,391.0,32,19,2023-07-16,0.42,9,365,0,R17000015121,Chicago
45214721,WF Home Sweet Home,263951019,Wing K,,Bridgeport,41.8363454417236,-87.64640765458576,Entire home/apt,104.0,2,82,2025-02-23,1.56,1,154,27,R20000054991,Chicago
45241534,3 bdrm |Complimentary Garage Parking| W&D | LUXTEL,130502086,Yolanda,,Humboldt Park,41.9129,-87.72474,Entire home/apt,181.0,1,86,2024-12-20,2.08,3,56,26,R21000071959,Chicago
45259783,Comfortable Room Five Min Walk to Blue Line/ RM 6,102750577,Jane,,Irving Park,41.94734,-87.71133,Private room,47.0,1,133,2025-02-24,2.43,6,345,31,R21000073218,Chicago
45267441,Illinois Medical District,365764996,Zandra,,Lower West Side,41.84819,-87.6769,Private room,62.0,32,12,2022-09-19,0.25,3,178,0,R20000058370,Chicago
45267938,Welcome Home,365764996,Zandra,,Lower West Side,41.85021,-87.67831,Private room,49.0,32,41,2022-10-22,0.77,3,268,0,R21000073252,Chicago
45281916,Attached bath. UChicago Medical Center. Train.Bike,1385332,Pattaraporn,,Woodlawn,41.78388,-87.60789,Private room,59.0,32,12,2024-10-26,0.25,18,1,4,,Chicago
45301793,Luxurious Private room & Private bath,137568651,Charlie,,Dunning,41.93849,-87.78799,Private room,85.0,32,19,2025-02-02,0.35,6,90,8,R20000058899,Chicago
45303919,Luxurious Cozy Private-Room & Shared Bathroom,137568651,Charlie,,Dunning,41.93972,-87.7867,Private room,69.0,32,67,2024-12-30,1.22,6,90,10,R20000058899,Chicago
45304237,Luxurious Cozy Private Room & SHARED Bathroom,137568651,Charlie,,Dunning,41.93843,-87.78822,Private room,69.0,32,65,2024-11-19,1.19,6,0,5,R20000058899,Chicago
45304453,#Luxurious Private Room & Private Bathroom,137568651,Charlie,,Dunning,41.94014,-87.78861,Private room,77.0,32,82,2024-11-04,1.53,6,359,6,R20000058899,Chicago
45328855,Bienvenu Chez Moi,202385826,Mouna,,North Center,41.93825,-87.68796,Entire home/apt,84.0,2,139,2025-02-07,3.05,1,109,37,R20000058342,Chicago
45329300,Gorgeous 5 BDR/ 4BA in Logan Square w/Parking!,17942597,Maria,,Avondale,41.93589,-87.69746,Entire home/apt,307.0,3,85,2025-03-02,1.56,1,216,22,R21000073812,Chicago
45334247,Artfully Designed Single Family Home West Loop,2036716,Daniel,,Near West Side,41.8778,-87.66729,Entire home/apt,126.0,14,30,2025-02-14,0.6,1,305,7,R22000091614,Chicago
45337459,3bdrm/2bthrm in restored brownstone in Bronzeville,1299321,Phill,,Grand Boulevard,41.81999588012695,-87.6131591796875,Entire home/apt,203.0,3,100,2024-12-02,1.88,1,296,8,R24000119506,Chicago
45368483,Private Bedroom in Chicago (North Park),128265803,Victor,,North Park,41.99264,-87.71464,Private room,40.0,2,59,2025-01-18,1.08,13,2,9,R24000120252,Chicago
45370544,Vintage Elegance Meets Modern Sophistication,54865295,Rob,,West Town,41.89506,-87.67748,Entire home/apt,244.0,3,101,2024-12-30,1.9,2,291,30,R21000064179,Chicago
45424624,16th:Rm.D: 3 LOCATIONS$500-1650 MNTH•PRIV BTH$1550,367411016,Taylor,,Near West Side,41.86008,-87.66361,Private room,67.0,32,1,2020-11-06,0.02,29,2,0,City registration pending,Chicago
45453685,Casita Plzeň Guest Suite,30010092,Noel,,Lower West Side,41.85551,-87.66418,Entire home/apt,125.0,2,183,2025-03-10,3.38,2,114,28,R23000105132,Chicago
45463808,"Blueground | River N, gym, rooftop, nr L & Parks",107434423,Blueground,,Near North Side,41.8945286,-87.63340520000003,Entire home/apt,220.0,32,0,,,597,1,0,32+days Listing,Chicago
45465696,Cozy Garden Room in the middle of Boystown!,8803468,Ashley,,Lake View,41.945072174072266,-87.64892578125,Private room,104.0,1,362,2025-01-07,6.63,8,235,16,2738085,Chicago
45485313,16th:Rm.A: 3 LOCATIONS! $500-$1650 MONTH•LUX•$1500,367411016,Taylor,,Lower West Side,41.85914,-87.66355,Private room,50.0,32,0,,,29,365,0,City registration pending,Chicago
45485389,16th:Rm.B: 3 LOCATIONS! $500-$1650 MONTH•LUX•$1500,367411016,Taylor,,Lower West Side,41.85966,-87.66151,Private room,44.0,32,0,,,29,365,0,City registration pending,Chicago
45487005,OFFICE SPACE ONLY - Private Modern Backyard Studio,6962723,Shane,,Logan Square,41.92071,-87.69966,Entire home/apt,32.0,180,0,,,1,315,0,,Chicago
45493080,West Humboldt Park Getaway,171003225,Cedric,,Humboldt Park,41.90355,-87.73382,Entire home/apt,147.0,1,94,2025-02-23,1.92,1,0,18,R21000061633,Chicago
45494623,NEW luxury Old Town 1-Bedroom condo,38574685,Katherine,,Lincoln Park,41.91618,-87.636078,Entire home/apt,132.0,1,88,2025-01-20,3.58,1,115,42,R24000113487,Chicago
45495441,HighSpeed WIFI Gorgeous 1BD/1BA LAKEVIEW Apartment,49626033,Roma,,Lake View,41.93845,-87.66574,Entire home/apt,80.0,360,4,2022-08-16,0.08,12,365,0,City registration pending,Chicago
45496471,Woodsy Charm in the Chi-town!,2672482,Elaine,,Hyde Park,41.7961529,-87.59193789999999,Entire home/apt,175.0,32,1,2024-07-04,0.12,1,0,1,,Chicago
45504202,May:Rm.E: MULT LOCATlONS•Monthly•Student•Priv•LUX,367411016,Taylor,,East Garfield Park,41.88419,-87.6966,Private room,50.0,32,0,,,29,1,0,R20000058893,Chicago
45504982,Chicago Canvas Apartments,268223379,Lydia,,Logan Square,41.91702,-87.71756,Entire home/apt,186.0,2,0,,,1,346,0,R25000125976,Chicago
45505018,*May:Rm.F:3LOCATIONS!$500-1650 MNTH•PRIV BTH!$1650,367411016,Taylor,,East Garfield Park,41.8829,-87.69509,Private room,67.0,32,2,2021-08-23,0.04,29,365,0,R20000058893,Chicago
45505156,16th:Rm.C: MULT LOCATlONS•Monthly•Student•Priv•LUX,367411016,Taylor,,Near West Side,41.8597,-87.66149,Private room,44.0,32,0,,,29,365,0,City registration pending,Chicago
45512087,Cute room in downtown Boystown,8803468,Ashley,,Lake View,41.945072174072266,-87.64892578125,Private room,99.0,1,366,2024-07-11,6.85,8,232,5,2738085,Chicago
45515581,Chicago Themed Garden Unit - Historic Bronzeville,19541995,Kendal,,Douglas,41.83037,-87.61904,Entire home/apt,102.0,3,103,2024-12-06,1.93,2,143,15,R25000124447,Chicago
